pitcher,p_whip,cf_score,p_throws
670102,0.26719624,0.0,R
656731,0.30648786,0.0,R
657024,0.27621594,0.0,R
668820,0.27921146,0.0,R
676724,0.76,0.0,R
614179,0.33670887,0.0,R
489119,0.29652685,0.0,L
680862,1.1692308,0.0,R
686654,0.2664935,0.0,R
641343,0.42903227,0.0,L
681146,0.59266055,0.0,R
621057,0.33290598,0.0,R
605513,0.27898166,0.0,R
675650,0.37515923,0.0,R
571771,0.55,0.0,R
681962,0.608,0.0,R
690382,0.34545454,0.0,R
641658,0.0,0.0,R
670156,0.82608694,0.0,R
519008,0.3153527,0.0,L
681987,0.43846154,0.0,R
676609,3.8,0.0,R
666215,0.35962147,0.0,R
682847,0.3135,0.0,R
621363,0.29770565,0.0,L
664139,0.2988519,0.0,R
680885,0.2579434,0.0,R
608671,3.8,0.0,R
673380,0.24050634,0.0,R
554340,0.24886206,0.0,R
687074,0.304,0.0,R
592866,0.31927982,0.0,R
657376,0.28566793,0.0,R
669193,0.44705883,0.0,R
682144,0.42222223,0.0,L
674285,0.4049421,0.0,R
519326,0.26675177,0.0,R
673820,0.27142859,0.0,R
573262,0.76,0.0,L
621114,0.26875,0.0,R
518397,0.31879976,0.0,L
621028,0.46060607,0.0,R
445926,0.284,0.0,R
