batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
665180,1.0,1.0,0.25,88.0,-4.387841,1.0,1.0,0.0,1.0,1,R
801600,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
664051,3.8,0.0,0.25,88.0,-4.5459194,0.6,0.6,0.0,0.0,0,L
641512,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,R
703143,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
692348,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
682630,3.8,0.0,0.25,88.0,-9.416667,0.6,0.6,0.0,0.0,0,R
664848,3.0,0.0,0.25,88.0,-0.4391892,0.0,0.0,0.0,0.0,0,R
681888,5.0,0.0,0.25,88.0,-1.676923,0.0,0.0,0.0,0.0,0,L
642451,2.5,0.33333334,0.25,88.0,0.0,0.5,0.5,0.0,0.25,0,L
682039,1.0,1.0,0.25,88.0,0.0,1.0,1.0,0.0,1.0,1,L
596451,1.5,0.5,0.25,88.0,0.0,0.5,0.5,0.0,1.0,1,R
680552,6.0,0.33333334,0.25,88.0,1.9141603,0.5,0.5,0.0,0.25,0,L
676419,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
670281,4.0,0.5,0.25,88.0,-2.6433828,0.0,0.0,1.0,0.0,0,R
683481,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
673036,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
663411,4.0,0.5,0.25,88.0,0.0,0.5,0.5,0.0,0.25,1,L
592660,2.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
519303,7.0,1.0,0.25,88.0,11.402258,0.0,0.0,1.0,0.0,0,R
600474,2.0,0.5,0.25,88.0,0.0,1.0,1.0,0.0,0.5,1,R
